time,value
2024-07-22 11:40:59,67901.14000000
2024-07-22 11:41:00,67904.81000000
2024-07-22 11:41:02,67904.81000000
2024-07-22 11:41:03,67904.81000000
2024-07-22 11:41:04,67904.81000000
2024-07-22 11:41:06,67904.80000000
2024-07-22 11:41:07,67904.80000000
2024-07-22 11:41:08,67904.80000000
2024-07-22 11:41:10,67904.80000000
2024-07-22 11:41:11,67904.80000000
2024-07-22 11:41:12,67904.80000000
2024-07-22 11:41:13,67904.80000000
2024-07-22 11:41:14,67911.83000000
2024-07-22 11:41:15,67911.83000000
2024-07-22 11:41:17,67911.83000000
2024-07-22 11:41:18,67929.47000000
2024-07-22 11:41:19,67929.47000000
2024-07-22 11:41:20,67938.29000000
2024-07-22 11:41:21,67938.29000000
2024-07-22 11:41:22,67938.29000000
2024-07-22 11:41:23,67938.28000000
2024-07-22 11:41:24,67938.28000000
2024-07-22 11:41:26,67938.28000000
2024-07-22 11:41:27,67938.28000000
2024-07-22 11:41:28,67926.29000000
2024-07-22 11:41:29,67926.29000000
2024-07-22 11:41:30,67926.29000000
2024-07-22 11:41:31,67926.28000000
2024-07-22 11:41:32,67926.28000000
2024-07-22 11:41:34,67926.28000000
2024-07-22 11:41:35,67926.28000000
2024-07-22 11:41:36,67926.28000000
2024-07-22 11:41:37,67926.28000000
2024-07-22 11:41:38,67926.28000000
2024-07-22 11:41:40,67926.28000000
2024-07-22 11:41:41,67926.28000000
2024-07-22 11:41:42,67926.28000000
2024-07-22 11:44:16,67895.59000000
2024-07-22 11:44:17,67895.59000000
2024-07-22 11:44:19,67895.59000000
2024-07-22 11:44:22,67895.59000000
2024-07-22 11:44:23,67895.59000000
2024-07-22 11:44:31,67905.58000000
2024-07-22 11:44:32,67905.58000000
2024-07-22 11:44:33,67905.58000000
2024-07-22 11:44:36,67905.57000000
2024-07-22 11:44:37,67905.57000000
2024-07-22 11:44:38,67905.57000000
2024-07-22 11:44:41,67905.57000000
2024-07-22 11:44:45,67901.04000000
2024-07-22 11:44:48,67897.13000000
2024-07-22 11:44:51,67897.13000000
2024-07-22 11:44:54,67897.13000000
2024-07-22 11:44:57,67897.13000000
2024-07-22 11:45:00,67897.13000000
2024-07-22 11:45:03,67903.32000000
2024-07-22 11:45:07,67903.32000000
2024-07-22 11:45:08,67897.06000000
2024-07-22 11:45:11,67897.06000000
2024-07-22 11:45:14,67897.07000000
2024-07-22 11:45:17,67905.57000000
2024-07-22 11:45:20,67905.56000000
2024-07-22 11:45:21,67905.56000000
2024-07-22 11:45:23,67905.56000000
2024-07-22 11:45:24,67905.56000000
2024-07-22 11:45:26,67905.56000000
2024-07-22 11:45:29,67905.57000000
2024-07-22 11:45:32,67905.57000000
2024-07-22 11:45:35,67897.12000000
2024-07-22 11:45:36,67897.12000000
2024-07-22 11:45:37,67897.12000000
2024-07-22 11:45:38,67897.12000000
2024-07-22 11:45:39,67897.12000000
2024-07-22 11:45:42,67897.12000000
2024-07-22 11:45:45,67900.40000000
2024-07-22 11:45:46,67900.40000000
2024-07-22 11:45:49,67900.40000000
2024-07-22 11:45:50,67900.40000000
2024-07-22 11:45:53,67900.40000000
2024-07-22 11:45:57,67917.71000000
2024-07-22 11:45:58,67920.99000000
2024-07-22 11:45:59,67920.99000000
2024-07-22 11:46:00,67921.99000000
2024-07-22 11:46:03,67928.22000000
2024-07-22 11:46:04,67928.22000000
2024-07-22 11:46:06,67935.12000000
2024-07-22 11:46:07,67935.12000000
2024-07-22 11:46:08,67935.12000000
2024-07-22 11:46:11,67932.45000000
2024-07-22 11:46:12,67924.77000000
2024-07-22 11:46:15,67926.74000000
2024-07-22 11:46:18,67927.05000000
2024-07-22 11:46:19,67927.05000000
2024-07-22 11:46:20,67927.05000000
2024-07-22 11:46:21,67927.05000000
2024-07-22 11:46:25,67927.05000000
2024-07-22 11:46:28,67935.91000000
2024-07-22 11:46:31,67935.91000000
2024-07-22 11:46:34,67935.91000000
2024-07-22 11:46:35,67935.91000000
2024-07-22 11:46:36,67950.02000000
2024-07-22 11:46:39,67950.02000000
2024-07-22 11:46:43,67950.02000000
2024-07-22 11:46:48,67950.02000000
2024-07-22 11:46:51,67950.02000000
2024-07-22 11:46:52,67950.02000000
2024-07-22 11:46:55,67950.02000000
2024-07-22 11:46:56,67950.02000000
2024-07-22 11:46:59,67950.02000000
2024-07-22 11:47:02,67950.02000000
2024-07-22 11:47:03,67950.02000000
2024-07-22 11:47:04,67949.83000000
2024-07-22 11:47:05,67949.83000000
2024-07-22 11:47:07,67949.83000000
2024-07-22 11:47:10,67949.83000000
2024-07-22 11:47:13,67951.90000000
2024-07-22 11:47:14,67939.05000000
2024-07-22 11:47:17,67939.05000000
2024-07-22 11:47:18,67939.05000000
2024-07-22 11:47:21,67939.05000000
2024-07-22 11:47:24,67939.05000000
2024-07-22 11:47:27,67939.05000000
2024-07-22 11:47:28,67939.05000000
2024-07-22 11:47:31,67939.05000000
2024-07-22 11:47:34,67939.05000000
2024-07-22 11:47:35,67939.05000000
2024-07-22 11:47:38,67939.05000000
2024-07-22 11:47:39,67939.05000000
2024-07-22 11:47:40,67939.05000000
2024-07-22 11:47:43,67939.05000000
2024-07-22 11:47:45,67939.05000000
2024-07-22 11:47:49,67939.05000000
2024-07-22 11:47:52,67939.05000000
2024-07-22 11:47:56,67939.05000000
2024-07-22 11:47:57,67939.05000000
2024-07-22 11:47:58,67939.05000000
2024-07-22 11:47:59,67939.05000000
2024-07-22 11:48:02,67940.58000000
2024-07-22 11:48:04,67940.58000000
2024-07-22 11:48:05,67940.58000000
2024-07-22 11:48:09,67944.88000000
2024-07-22 11:48:10,67944.88000000
2024-07-22 11:48:13,67935.90000000
2024-07-22 11:48:15,67930.28000000
2024-07-22 11:48:19,67926.91000000
2024-07-22 11:48:21,67926.91000000
2024-07-22 11:48:22,67926.92000000
2024-07-22 11:48:24,67926.92000000
2024-07-22 11:48:27,67926.91000000
2024-07-22 11:48:28,67926.92000000
2024-07-22 11:48:30,67928.59000000
2024-07-22 11:48:33,67928.60000000
2024-07-22 11:48:36,67928.60000000
2024-07-22 11:48:39,67928.60000000
2024-07-22 11:48:40,67923.34000000
2024-07-22 11:48:43,67923.34000000
2024-07-22 11:48:45,67925.45000000
2024-07-22 11:48:48,67925.45000000
2024-07-22 11:48:49,67925.45000000
2024-07-22 11:48:52,67925.45000000
2024-07-22 11:48:55,67925.45000000
2024-07-22 11:48:56,67925.44000000
2024-07-22 11:48:59,67925.45000000
2024-07-22 11:49:03,67922.94000000
2024-07-22 11:49:06,67925.44000000
2024-07-22 11:49:07,67921.98000000
2024-07-22 11:49:08,67913.88000000
2024-07-22 11:49:11,67913.88000000
2024-07-22 11:49:12,67913.88000000
2024-07-22 11:49:13,67913.88000000
2024-07-22 11:49:16,67913.88000000
2024-07-22 11:49:20,67913.86000000
2024-07-22 11:49:25,67917.81000000
2024-07-22 11:49:28,67917.81000000
2024-07-22 11:49:31,67917.81000000
2024-07-22 11:49:32,67917.81000000
2024-07-22 11:49:33,67917.81000000
2024-07-22 11:49:34,67917.81000000
2024-07-22 11:49:38,67892.46000000
2024-07-22 11:49:42,67914.88000000
2024-07-22 11:49:44,67917.81000000
2024-07-22 11:49:46,67921.97000000
2024-07-22 11:49:47,67921.97000000
2024-07-22 11:49:48,67919.46000000
2024-07-22 11:49:49,67919.46000000
2024-07-22 11:49:50,67912.96000000
2024-07-22 11:49:52,67912.96000000
2024-07-22 11:49:53,67912.96000000
2024-07-22 11:49:57,67912.96000000
2024-07-22 11:50:02,67902.84000000
2024-07-22 11:50:05,67902.83000000
2024-07-22 11:50:08,67914.92000000
2024-07-22 11:50:10,67914.93000000
2024-07-22 11:50:13,67920.73000000
2024-07-22 11:50:15,67920.73000000
2024-07-22 11:50:18,67921.46000000
2024-07-22 11:50:19,67921.47000000
2024-07-22 11:50:20,67921.47000000
2024-07-22 11:50:21,67921.47000000
2024-07-22 11:50:23,67921.46000000
2024-07-22 11:50:26,67921.47000000
2024-07-22 11:50:27,67921.46000000
2024-07-22 11:50:32,67921.47000000
2024-07-22 11:50:34,67921.47000000
2024-07-22 11:50:37,67921.46000000
2024-07-22 11:50:40,67915.93000000
2024-07-22 11:50:44,67915.93000000
2024-07-22 11:50:47,67915.92000000
2024-07-22 11:50:50,67916.56000000
2024-07-22 11:50:51,67921.04000000
2024-07-22 11:50:52,67921.05000000
2024-07-22 11:50:54,67921.05000000
2024-07-22 11:50:57,67921.05000000
2024-07-22 11:50:58,67921.04000000
2024-07-22 11:51:01,67921.04000000
2024-07-22 11:51:04,67921.04000000
2024-07-22 11:51:05,67921.04000000
2024-07-22 11:51:08,67921.05000000
2024-07-22 11:51:09,67921.04000000
2024-07-22 11:51:12,67921.04000000
2024-07-22 11:51:15,67917.87000000
2024-07-22 11:51:18,67917.87000000
2024-07-22 11:51:20,67917.87000000
2024-07-22 11:51:23,67917.87000000
2024-07-22 11:51:26,67917.86000000
2024-07-22 11:51:29,67917.86000000
2024-07-22 11:51:32,67917.86000000
2024-07-22 11:51:36,67917.86000000
2024-07-22 11:51:37,67917.86000000
2024-07-22 11:51:38,67908.07000000
2024-07-22 11:51:40,67908.07000000
2024-07-22 11:51:41,67908.07000000
2024-07-22 11:51:45,67914.93000000
2024-07-22 11:51:46,67914.93000000
2024-07-22 11:51:49,67914.93000000
2024-07-22 11:51:53,67914.61000000
2024-07-22 11:51:56,67914.61000000
2024-07-22 11:51:59,67914.61000000
2024-07-22 11:52:03,67914.61000000
2024-07-22 11:52:04,67907.49000000
2024-07-22 11:52:05,67907.49000000
2024-07-22 11:52:06,67913.90000000
2024-07-22 11:52:09,67913.24000000
2024-07-22 11:52:11,67913.24000000
2024-07-22 11:52:13,67908.72000000
2024-07-22 11:52:14,67908.71000000
2024-07-22 11:52:15,67908.71000000
2024-07-22 11:52:16,67908.71000000
2024-07-22 11:52:17,67908.71000000
2024-07-22 11:52:18,67908.71000000
2024-07-22 11:52:19,67913.90000000
2024-07-22 11:52:21,67913.90000000
2024-07-22 11:52:24,67917.75000000
2024-07-22 11:52:28,67921.97000000
2024-07-22 11:52:29,67921.98000000
2024-07-22 11:52:30,67921.98000000
2024-07-22 11:52:33,67921.97000000
2024-07-22 11:52:36,67915.10000000
2024-07-22 11:52:37,67915.10000000
2024-07-22 11:52:38,67915.10000000
2024-07-22 11:52:41,67915.10000000
2024-07-22 11:52:42,67908.06000000
2024-07-22 11:52:43,67908.06000000
2024-07-22 11:52:46,67901.00000000
2024-07-22 11:52:47,67901.00000000
2024-07-22 11:52:50,67896.02000000
2024-07-22 11:52:53,67900.46000000
2024-07-22 11:52:54,67900.45000000
2024-07-22 11:52:55,67900.45000000
2024-07-22 11:52:58,67894.91000000
2024-07-22 11:52:59,67888.32000000
2024-07-22 11:53:02,67888.32000000
2024-07-22 11:53:03,67888.32000000
2024-07-22 11:53:06,67864.40000000
2024-07-22 11:53:08,67861.96000000
2024-07-22 11:53:11,67861.96000000
2024-07-22 11:53:14,67861.96000000
2024-07-22 11:53:18,67861.96000000
2024-07-22 11:53:20,67857.23000000
2024-07-22 11:53:24,67857.23000000
2024-07-22 11:53:27,67850.50000000
2024-07-22 11:53:28,67852.13000000
2024-07-22 11:53:31,67852.13000000
2024-07-22 11:53:35,67850.50000000
2024-07-22 11:53:39,67850.50000000
2024-07-22 11:53:40,67850.50000000
